Jobs,hiring freshers for software development by ashna enterprisers.
Hackathons,codefest is live now go and code
Fests,Marketing fest is being organised by global desi do join it!
Webinars,Freshgrad is conducting a webinar for students on how to learn data structures.
Courses,Coursera is offering a new course in rs 1999 only
Internships,JUSPAY IS HIRING INTERNS - 2021 Batch (TEST IS LIVE Till 7th July'2020)
Workshops,3 Days Workshop in Chem-Informatics & Drug Discovery
Courses,variety of courses are offered by udemy 
Trainings,Online Corporate Profile Design Training (Design Company Profile)
Jobs,experienced faculty required for teaching college students OS.
Fests,Cultural fest is organised by IIT Bombay accept the invitation!!
Webinars,"[Webinar] Product Managers, can you befriend your customers?"
Courses,udacity course for machine learning 
Expos,B2B Expo on Education and Training Resources & Technology.
Internships,All India Council for Technical Education (AICTE) desires to appoint part time paid Interns.
Certifications,"Technical Certification for Software Profes,sionals Get Certified, Get Distinguished."
Courses,7 days free trial available for deep learning course
Jobs,civil contracter required for job.
Jobs,job for software developer.
Competitions,FootBall Competition by Dugout pay to enter
Webinars,Exclusive AWS Live Webinar - If students have missed it last time!!
Certifications,Dalailama institute is conducting a certified 2 days coding fest!!
Hackathons,hackfest will start from 2nd august.
Expos,"The 2020 edition of Iot Expo India is occurring the 7th, 8th and 9th of July 2020 at Pragati Maidan in New Delhi (India)."
Webinars,[Free Webinar] Service Mesh for microservice management
Internships,"Alien Brains & Mukesh Patel School of Technology Management and Engineering, Shirpur - Sales and Marketing Internship"
Hackathons,hacking marathon is starting which you have never experienced before
Fests,Infosys is organizing a tech fest come and join!
Certifications,Technical Certification on Open Source Technologies
Courses,New variety of courses are available by geeks for geeks register before 20 july 2020
Jobs,25000 salary job in maharashtra -10th pass government job in maharashtra.
Competitions,Win £50 to Spend at Groupon  a Competition by Vouchercloud
Expos,SMART HOME EXPO will be on the 17th & 18th of July 2020 at Pragati Maidan in New Delhi (India).
Webinars,Webinar invite for discussion of problem statements for Project Code 2.0
Hackathons,hackday to start tommorow rush.
Internships,Registrations for Cashflo Internship Open till 12th May'2020 - Batch 2021
Fests,Google has organised a annual meet for all the tech geeks do join the google fest.
Jobs,Job for freshers are available avail the offer
Seminars,Cloud-Counselage is conduction a seminar on consumtion of energy via cloud..
Seminars,"Sankey solutions is conducting a seminar on data-analysis with python,,"
Courses,Free online course on NLP offerend by Havard University register
Competitions,Google kickstart competition is available for you to participate register before 10 july!
Jobs,SBI is offereing a better job avail offer before 20.07.2020.
Talks,Techinacal talk by sudarshan on c++ language
Seminars,Artificial intellegence seminar by goldman sach
Workshops,Influential Leadership Workshop for Organizational Leaders (Become Influential People Leader)
Courses,Bootstrap and php blog tutorial step by step join course
Internships,Online internship Program on Machine Learning - Batch 2021
Talks,Ted Talk is being organised by IIT Mumbai 
